매장이름,시도정보,시군구정보,매장주소
석수엘지점,경기도,안양시,경기도 안양시 만안구 석수동 415-2 엘지빌리지 상가
샘마을점,경기도,안양시,경기도 안양시 동안구 호계동 1116 샘마을상가 1층
삼보점,경기도,시흥시,경기도 시흥시 대야동 275 삼보상가 1층 1호
산본점,경기도,군포시,경기도 군포시 산본동 1069-3 (1층)
북리점,경기도,용인시,경기도 용인시 처인구 남사면 북리 680-13
북내점,경기도,여주시,경기도 여주시 북내면 여양2로 274
케이준 부곡점,경기도,안산시,경기도 안산시 상록구 성호로340
보정점,경기도,용인시,"경기도 용인시 기흥구 죽현로 8-20 130(보정동,아이원프라자)"
범계점,경기도,안양,경기도 안양 동안 비산 1102 관악타운 상가122
백암점,경기도,용인시,경기도 용인시 처인구 백암면 백암리 391번지
백사점,경기도,이천시,경기도 이천시 백사면 현방리 67-12
박달점,경기도,안양시,경기도 안양시 만안구 박달동 149-1
미양점,경기도,안성시,경기도 안성시 미양면 보체리 405 상가 501동 101호
모현점,경기도,용인시,경기도 용인시 처인구 모현면 일산리112-82
만선점,경기도,광주시,경기도 광주시 곤지암읍 만선로 45
둔전점,경기도,용인시,경기도 용인시 처인구 포곡읍 포곡로 118번길 24-11
대림동산점,경기도,안성시,"경기도 안성시 공도읍 가족공원길 26, 나동 1층"
능평점,경기도,광주시,경기도 광주시 오포읍 수레실길 5
금정점,경기도,군포시,경기도 군포시 금정동 79-1 1층
군포점,경기도,군포시,경기도 군포시 당동 914-5번지
구성점,경기도,용인시,"경기도 용인시 기흥구 구성로 186(언남동, 신일푸른솔아파트단지내 1층"
광명2점,경기도,광명시,경기도 광명시 광명동 158-240 1층
공도점,경기도,안성시,경기도 안성시 공도읍 고무다리길 3
거모점,경기도,시흥시,경기도 시흥시 군자로504번안길 12(거모동)
갈산점,경기도,이천시,경기도 이천시 갈산로 87번길 4(갈산동)
가남점,경기도,여주시,경기도 여주시 가납읍 태평중앙1길 8-10
한솔새롬점,세종특별자치시,누리로28,세종시 누리로28
금정산SK점,부산광역시,금정구,"부산광역시 금정구 식물원로 82, 302동 201호(장전동, 금정에스케이뷰)"
평촌2점,경기도,안양시,경기도 안양시 동안구 평촌대로127번길 38
목감점,경기도,시흥시,경기도 시흥시 목감중앙서로20 시흥목감엘에이치 7단지
시화계룡점,경기도,시흥시,"경기도 시흥시 중심상가로 127, 상가동 108호(정왕동)"
시화3점,경기도,시흥시,"경기도 시흥시 정왕대로28번길 31 , 110(정왕동)"
시화2점,경기도,시흥시,"경기도 시흥시 옥구천서로373번길 43, 104호(정왕동, 주공1단지분산상가)"
연지점,부산광역시,부산진구,"부산광역시 부산진구 새싹로 184, 1층 101호(연지동, 연지메디컬센터)"
신라대점,부산광역시,사상구,"부산광역시 사상구 백양대로 703, A동(덕포동)"
연제점,부산광역시,연제구,부산광역시 연제구 거제천로 183(거제동)
정관롯데캐슬점,부산광역시,기장군,"부산광역시 기장군 정관읍 정관3로 52, 상가동 101호(롯데캐슬)"
호계2점,경기도,안양시,경기도 안양시 동안구 호계동 912-2
향남2점,경기도,화성시,경기도 화성시 향남읍 신광길 19. 102호
위례점,경기도,성남시,경기도 성남시 수정구 위례순환로 4길 34(창곡동)
신림역점,서울특별시,관악구,"서울특별시 관악구 신림동길 40, 101(신림동)"
동삭점,경기도,평택시,"경기도 평택시 동삭로 397 상가동 104,105호"
길동점,서울특별시,강동구,서울시 강동구 길동 99-1
괴안점,경기도,부천시,경기도 부천시 소사 괴안동 89-1
곤지암점,경기도,광주시,경기 광주시 곤지암읍 곤지암리 435-91
고강점,경기도,부천시,"경기도 부천시 오정구 원종로 122, 101호(고강동, 가람5차)"
덕진하가점,전라북도,전주시,전북 전주시 덕진구 가리내5길 16 103호(덕진동2가)
삼안점,경상남도,김해시,경상남도 김해시 삼안로 131번길 8-4(삼방동)
북정점,경상남도,양산시,경상남도 양산시 북정로 101(북정동)
산하1호점,울산광역시,북구,"울산광역시 북구 화암6길 14, 1층 101호(산하동)"
부곡월산점,경상남도,김해시,"경상남도 김해시 월산로 111-67,1 1층 105호(부곡동, 신화프라자)"
괘법한신점,부산광역시,사상구,"부산광역시 사상구 광장로 37번길 82, 1층(괘법동,대동래미안)"
아주점,경상남도,거제시,"경남 거제시 아주1로1길 7-2,1층(아주동)"
오동동점,경상남도,창원시,경남 창원시 마산합포구 오동동10길 15(오동동)
예산점,충청남도,예산군,충남 예산군 예산읍 역전로 160번길 16. 1층 107
대소점,충청북도,음성군,충북 음성군 대소면 오태로 75-1
옥포돌미점,경상남도,창녕군,경상남도 창녕군 대합면 대합산업단지로 119-15
대도점,경상북도,포항시,경상북도 포항시 남구 상대로 142
진천장관점,충청북도,진천군,충북 진천군 진천읍 장관2길 139-1
삼성2점,대전광역시,동구,대전 동구 현암로 36
삼성점,충청북도,음성군,충북 음성군 삼성면 덕정로62번길 2
무극점,충청북도,음성군,충북 음성군 금왕읍 무극로 234
경산남산점,경상북도,경산시,경북 경산시 남산면 산양길 9
계백점,대전시,중구,대전시 중구 문화로90
원성점,충청남도,천안시,충남 천안시 동남구 버들로127
가양점,서울특별시,강서,서울 강서 가양 1475 강변아파트상가 203
등촌점,서울특별시,강서구,서울특별시 강서구 등촌동 704  주공9단지아파트상가동102호
방화점,서울특별시,강서구,"서울특별시 강서구 방화대로33길 17 (방화동,1층)"
신길점,서울특별시,영등포,서울시 영등포 신길 95-62
신풍역점,서울특별시,영등포구,"서울특별시 영등포구 신길로 108(신길동,남서울 아파트상가.신길동3591)"
신대방,서울특별시,동작구,서울시 동작구 대방동 409-10
암사점,서울특별시,강동구,서울 강동구 암사동 425-197번지
풍납점,서울특별시,송파구,서울 송파구 풍납동 392번지
송파점,서울특별시,송파구,서울 송파구 송파동 135-18 102호
가락점,서울특별시,송파구,서울 송파구 가락동 82-6번지
문정점,서울특별시,송파구,서울 송파구 문정동 29
오금점,서울특별시,송파구,서울 송파구 오금동 151-6번지
일원점,서울특별시,강남,서울시 강남 일원 682-7 1층
삼전점,서울특별시,송파,서울시 송파 삼전 167-17
신천점,서울특별시,송파,서울시 송파 잠실 185-9
압구정점,서울특별시,강남구,서울 강남구 신사동 653-15번지 2층
잠원점,서울특별시,서초구,서울 서초구 잠원동 53번지 현대상사 1층 6호
방배점,서울특별시,서초구,서울 서초구 방배동 868-28번지
양재점,서울특별시,서초구,서울 서초구 양재동 6-37번지
대치점,서울특별시,강남구,서울 강남구 대치동 922-14번지
서초점,서울특별시,서초구,서울 서초구 서초동 1342번지
역삼점,서울특별시,강남구,서울 강남구 역삼동 782-28번지
논현점,서울특별시,강남구,서울 강남구 논현동 192-1번지
여의도점,서울특별시,영등포구,서울시 영등포구 여의도동50 시범상가 
대방점,서울특별시,동작구,서울 동작구 대방동 68-35번지
장승배기점,서울특별시,동작,서울 동작 상도 373-72번지
봉천점,서울특별시,관악구,서울 관악구 봉천동 885-1번지
행운점,서울특별시,관악구,서울 관악구 행운동 66-117번지
우장산점,서울특별시,강서구,서울특별시 강서구 강서로 46길 51(내발산동)
화곡역점,서울특별시,강서구,서울특별시 강서구 화곡동 1062-20 2층
신정1점,서울특별시,양천구,"서울특별시 양천구 은행정로 5길 28,1층 102호(신정동)"
신도림점,서울특별시,구로구,서울시 구로구 신도림동 396 - 140
신정7점,서울특별시,양천구,서울특별시 양천구 신정동 203-1
당산점,서울특별시,영등포구,서울 영등포구 당산동1가 378번지
대림점,서울특별시,영등포구,서울시 영등포구 대림동 1027-16
구로가산점,서울특별시,구로구,서울 구로구 구로동 792-22번지
독산점,서울특별시,금천구,서울시 금천구 독산 179-12
시흥점,서울특별시,금천구,서울시 금천구 시흥동 887-24
원종점,경기도,부천시,경기도 부천시 원종동 382-7
목동점,서울특별시,양천구,"서울특별시 양천구 목동중앙서로 40 (목동,1층)"
사당점,동작구,사당동,동작구 사당동 312-9번지
상도점,서울특별시,동작구,서울 동작구 상도1동 360-1번지
동방점,서울특별시,관악,서울시 관악 신림 246-23
신림점,서울특별시,관악구,서울시 관악구 신림동 96-87
개봉점,서울특별시,구로구,"서울특별시 구로구 고척로27길 58, 1층(개봉동)"
신정점,서울특별시,양천구,"서울특별시 양천구 신정로11길 62, 1층(신정동, 유광빌딩)"
화곡1점,서울특별시,강서구,"서울특별시 강서구 가로공원로 233  101(화곡동,뉴파인아파트상가1층)"
개봉2점,서울특별시,구로구,서울특별시 구로구 개봉동 357-22
한마을점,서울특별시,구로구,서울특별시 구로구 경인로 377-1 (고척동)
오류점,서울특별시,구로구,서울특별시 구로구 오류동 27-37
가좌점,인천광역시,서구,인천시 서구 가좌동 142-45
신현점,인천광역시,서구,인천시 서구 신현동 279-5
청라점,인천광역시,서구,인천 서구 연희동 763-19
하늘도시점,인천광역시,중구,"인천광역시 중구 은하수로 351, 2동 103호 (중산동, 우미린1차상가)"
연희점,인천광역시,서구,인천 서구 승학로 313-1
온수점,인천광역시,강화군,인천 강화군 강화읍 길상면 온수리 538-10
검단점,인천광역시,서구,인천 서구 검단로 487번길 5
마전점,인천광역시,서구,인천 서구 완정로 34번길 47
만수2점,인천광역시,남동구,"인천 남동구 백범로 206번길 13(만수동 ,1층)"
만수1점,인천광역시,남동구,인천 남동구 만수동 932-3
만수3점,인천광역시,남동구,인천광역시 남동구 만수6동 1026-1
주안4점,인천광역시,남구,인천시 남구 주안4동 414-32
주안점,인천광역시,남구,인천 남구 주안8동 1528-14
구월3점,인천광역시,남동구,인천시 남동구 구월동 1359-20
연안점,인천광역시,중구,인천 중구 항동7가 58-4 라이프상가 1-107
용현점,인천광역시,남구,인천광역시 남구 용현동 342-2
송림3점,인천광역시,동구,인천시 동구 송림동 60-31
송림점,인천광역시,동구,인천 동구 송림2동 55-1
송도점,인천광역시,연수구,인천시 연수구 컨밴시아대로 42번길 12
동춘점,인천광역시,연수구,인천광역시 연수구 연수동 610-2
인천논현점,인천광역시,남동구,인천광역시 남동구 논고개로 86
병방점,인천광역시,계양구,인천시 계양구 병방동 92-26
계양점,인천광역시,계양구,인천시 계양구 용종동 214-1 
계산점,인천광역시,계양구,인천시 계양구 계산동 932-11
효성점,인천광역시,계양구,인천시 계양구 효성동 192-1 (104호)
산곡점,인천광역시,부평구,인천시 부평구 산곡동 317-116
간석점,인천광역시,남동구,인천 남동구 간석동 113-1번지 102호
구월점,인천광역시,남동구,인천 남동구 구월동 1248-44
영흥점,인천광역시,웅진,인천시 웅진 영흥 내 6리 1691
진두점,인천광역시,옹진군,인천시 옹진군 영흥면 내리 8-200
부개점,인천광역시,부평구,인천시 부평구 부개동 140-22
삼산점,인천광역시,부평구,인천시 부평구 삼산동440-1삼산타운 1단지 B상가103호
부평점,인천광역시,부평구,인천시 부평구 부평동 904-16
주안2점,인천광역시,남구,인천광역시 남구 주안2동 550-23
동수역점,인천광역시,부평구,인천시 부평구 경인로 887
학익점,인천광역시,남구,인천시 남구 학익동665-3
연수점,인천광역시,연수구,인천 연수구 연수동 497-7
옥련청학점,인천광역시,연수구,인천 연수구 옥련동 367-7
육사점,서울특별시,노원구,서울시 노원구 공릉동 공릉사서함 77-5
수유화계점,서울특별시,강북구,서울시 강북구 노해로17길 51
창5점(쌍용),서울특별시,도봉구,"서울 도봉구 마들로 551, 101동"
미아삼거리점,서울특별시,강북구,서울 강북구 월계로 3길 68 2층
광희점,서울특별시,중구,"서울특별시 중구 마른내로 163,1층(광희동1가)"
연희점,서울특별시,서대문구,서울특별시 서대문구 증가로 34(연희동)
보문점,서울특별시,성북구,서울시 성북구 보문로109
정릉점,서울특별시,성북구,"서울시 성북구 보국문로 75,102"
청구점,서울특별시,중구,"서울시 중구 동호로12길 88(신당동,1층)"
서교점,서울특별시,마포구,서울시 마포구 성미산로17길 84
방학점,서울특별시,도봉구,서울시 도봉구 방학로 200-20
북가좌점,서울특별시,서대문구,서울시 서대문구 북가좌동 347-27
경희대점,서울특별시,동대문구,서울시 동대문구 청량리 1동 55-34
후암점,서울특별시,용산구,서울시 용산구 동자동 19-33
염리점,서울특별시,마포구,서울시 마포구 숭문4길 5
도화점,서울특별시,마포구,서울시 마포구 도화1동 25-4
이태원점,서울특별시,용산구,서울시 용산구 이태원동 225-60
응봉점,서울특별시,성동구,서울시 성동구 응봉동 193-118 1층
응암점,서울특별시,은평구,서울시 은평구 응암동 239-18
역촌점,서울특별시,은평구,서울시 은평구 역촌동 34-1
우이점,서울특별시,강북구,서울시 강북구 우이동 72-65
수유점,서울특별시,강북구,서울시 강북구 수유동 310-1
번동점,서울특별시,강북구,서울시 강북구 번동 148-42 1층 101호
창동점,서울특별시,도봉구,서울시 도봉구 창동 596-1 대우APT 상가 144
쌍문점,서울특별시,도봉구,서울시 도봉구 시루봉로2길 66 1층 102호
도봉2점,서울특별시,도봉구,서울시 도봉구 도봉동 635-13
녹천점,서울특별시,도봉구,서울시 도봉구 창동 38-1 주공17단지상가 101
월계미성점,서울특별시,노원구,서울시 노원구 월계동 17 미성상가 103
중계주공점,서울특별시,노원구,서울시 노원구 중계동 369-7 중계주공 2단지상가 106
공릉점,서울특별시,노원구,서울시 노원구 공릉동 240-235
중곡점,서울특별시,광진구,서울시 광진구 중곡동 79-10
면목점,서울특별시,중랑구,서울시 중랑구 면목동 657-56
신내점,서울특별시,중랑구,서울시 중랑구 신내동 472-3 
공릉2점,서울특별시,노원구,서울시 노원구 공릉동 707 공릉 2단지 상가 111
중계점,서울특별시,노원구,서울시 노원구 중계동 503 중계그린상가 B-107 
상계2점,서울특별시,노원구,"서울시 노원구 동일로215길 81,121(상계동,다상가)"
수락산점,서울특별시,노원구,"서울시 노원구 상계동 1110-6 종합상가 103,110,111호"
칠금봉방점,충청북도,충주시,충북 충주시 연수동 1245
청전점,충청북도,제천시,충북 제천시 숭문로20길 26(의림동)
지현점,충청북도,충주시,충북 충주시 사직산8길 22(지현동)
제천A점,충청북도,제천시,"충북 제천시 숭의로1길 2, 1층(화산동)"
이류점,충청북도,충주시,충북 충주시 대소원면 대소원1길 21
용산점,충청북도,충주시,충북 충주시 용정2길 39-1(성남동)
영춘점,충청북도,단양군,충북 단양군 영춘면 온달평강로 56
연수점,충청북도,충주시,충북 충주시 금릉동 708-2
수안보점,충청북도,충주시,충북 충주시 수안보면 장터1길 19
부강점,충청북도,충주시,충북 충주시 교현동 1087
금가점,충청북도,충주시,충북 충주시 금가면 강수로 335
충북혁신도시점,충청북도,진천군,충북 진천군 덕산면 연미로 87-1 상가1층
광혜원점,충청북도,음성군,충청북도 음성군 대소면 대청로 15 
오창호수공원점,충청북도,청주시,충청북도 청주시 청원구 오창읍 양청리 752-4 102호
음성점,충청북도,음성군,충청북도 음성군 음성읍 시장로 43 
탑동점,충청북도,청주시,충청북도 청주시 상당구 탑동로1번길 104 
괴산점,충청북도,괴산군,충청북도 괴산군 괴산읍 동부리 627-20
가경점,충청북도,청주시,충청북도 청주시 흥덕구 풍산로89번길 31 세원아파트 상가 103 
봉명점,충청북도,청주시,충청북도 청주시 흥덕구 봉명로149번길 6
부윤점,충청북도,음성군,충청북도 음성군 대소면 대동로 515 
강서점,충청북도,청주시,충청북도 청주시 흥덕구 서현중로 56 
감곡점,충청북도,음성군,충청북도 음성군 감곡면 장감로 189 
진천점,충청북도,진천군,충청북도 진천군 진천읍 문화2길 12
복대점,충청북도,청주시,충청북도 청주시 흥덕구 성봉로 267 
석교점,충청북도,청주시,충청북도 청주시 상당구 영운로 140 
금천점,충청북도,청주시,충청북도 청주시 상당구 수영로259번길 64 
소라점,충청북도,청주시,충청북도 청주시 상당구 원봉로 25 신라아파트 상가 111호
충북덕산점,충청북도,진천군,충청북도 진천군 덕산면 초금로 757-2
영동점,충청북도,영동군,충청북도 영동군 영동읍 영산로1길 3 
옥천점,충청북도,옥천군,충청북도 옥천군 옥천읍 금장로 113 
용산점,충청북도,영동군,충청북도 영동군 용산면 용산로 307
배방북수점,충청남도,아산시,충청남도 아산시 배방읍 배방로173번길 20-18 
용화점,충청남도,아산시,충청남도 아산시 온중로 20
내포점,충청남도,홍성군,충청남도 홍성군 홍북읍 청사로48번길 16 
신양점,충청남도,예산군,충청남도 예산군 신양면 청신로 389 
동문점,충청남도,서산시,충청남도 서산시 한마음2로 49 
서면점,충청남도,서천군,충청남도 서천군 서면 서인로 361
석문점,충청남도,당진시,충청남도 당진시 석문면 해명4로3길 34
강경점,충청남도,논산시,충청남도 논산시 강경읍 계백로153번길 4 
한진포구점,충청남도,당진시,충청남도 당진시 송악읍 한진포구길 27 
예산덕산점,충청남도,예산군,충청남도 예산군 덕산면 봉운로 21
대천동점,충청남도,보령시,충청남도 보령시 남대천로 73 
신평점,충청남도,당진시,충청남도 당진시 신평면 신평로 820
온양1동점,충청남도,아산시,충청남도 아산시 번영로 71 
논산점,충청남도,논산시,충청남도 논산시 부창로100번길 13-19
신암점,충청남도,예산군,충청남도 예산군 신암면 추사로 206
서천점,충청남도,서천군,충청남도 서천군 서천읍 충절로29번길 18
신정점,충청남도,아산시,충청남도 아산시 온천대로 1333번길 15
엄사점,충청남도,계룡시,충청남도 계룡시 엄사면 엄사중앙로 65-10 동아아파트 상가 106호 
인주점,충청남도,아산시,충청남도 아산시 인주면 현대로 1032 
음암점,충청남도,서산시,충청남도 서산시 음암면 상홍리 155-3 우리아파트상가 
당진1점,충청남도,당진시,충청남도 당진시 밤절로 103
웅천점,충청남도,보령시,충청남도 보령시 웅천읍 장터중앙길 126 
안면점,충청남도,태안군,충청남도 태안군 안면읍 장터로 140-1 
인지점,충청남도,서산시,충청남도 서산시 인지면 무학로 1728 
금산점,충청남도,금산군,충청남도 금산군 금산읍 금산로 1465
부여점,충청남도,부여군,충청남도 부여군 부여읍 석탑로 3 
신도안점,충청남도,계룡시,충청남도 계룡시 신도안면 신도안1길 61 중부상가 
샘마을점,충청남도,아산시,충청남도 아산시 신창면 남성길 99
모종점,충청남도,아산시,충청남도 아산시 모종동 577-13 
천북점,충청남도,보령시,충청남도 보령시 천북면 하궁길 10
공주1점,충청남도,공주시,충청남도 공주시 우금티로 755 2층 
해미점,충청남도,서산시,충청남도 서산시 해미면 남문1로 47 
모항점,충청남도,태안군,충청남도 태안군 소원면 모항파도로 113 
원북점,충청남도,태안군,충청남도 태안군 원북면 원이로 841-4 
명지점,충청남도,서산시,충청남도 서산시 대산읍 물안1로 123 
두정2점,충청남도,천안시,충청남도 천안시 서북구 두정역서1길 4-12 다온빌리지 1층상가 
목천점,충청남도,천안시,충청남도 천안시 동남구 목천읍 교천지산길 16 
장재점,충청남도,아산시,충청남도 아산시 배방읍 연화로 36 연화마을8단지 상가2동 104호 
성거점,충청남도,천안시,충청남도 천안시 서북구 성거읍 송남리 585
초원점,충청남도,아산시,충청남도 아산시 음봉면 음봉로681번길 24 초원아파트109-101호 
신방점,충청남도,천안시,충청남도 천안시 동남구 수곡2길 5 
청수점,충청남도,천안시,충청남도 천안시 동남구 풍세로 932 
입장점,충청남도,천안시,충청남도 천안시 서북구 입장면 입장로 121 초원상가6-103호 
쌍용봉명점,충청남도,천안시,충청남도 천안시 서북구 봉서5길 18 
백석점,충청남도,천안시,"충청남도 천안시 서북구 백석4길 12, 103호"
쌍용월봉점,충청남도,천안시,충청남도 천안시 서북구 월봉4로 140-16 월봉태영아파트상가 107호 
쌍용능수점,충청남도,천안시,충청남도 천안시 서북구 쌍용16길 54-1 
북면중앙점,충청남도,천안시,충청남도 천안시 동남구 북면 상동리 86-14 중앙아파트 상가 16호 
성환점,충청남도,천안시,충청남도 천안시 서북구 성환읍 성환중앙로 47 
직산점,충청남도,천안시,충청남도 천안시 서북구 성거읍 봉주로 111 
차암공단점,충청남도,천안시,충청남도 천안시 서북구 직산읍 2공단5로 169 대림상가 105호 
두정1점,충청남도,천안시,충청남도 천안시 서북구 늘푸른5길 22 골드프라자 110호 
성정점,충청남도,천안시,충청남도 천안시 서북구 서부16길14
신부점,충청남도,천안시,충청남도 천안시 동남구 터미널2로 29 
남부점,충청남도,천안시,충청남도 천안시 동남구 풍세로 769-28
10단지점,충청남도,천안시,충청남도 천안시 서북구 봉서산샛길 64 상가102호 
효자점,전라북도,전주시,전북 전주시 완산구 성지산로 61-4 
조촌점,전라북도,군산시,전북 군산시 조촌로 68 (조촌동)
정읍수성점,전라북도,정읍시,전북 정읍시  중앙로95(수성동)
익산영등점,전라북도,익산시,전북 익산시 고봉로22길 31 (영등동)
수송점,전라북도,군산시,전북 군산시 월명로 305(수송동)
산북소룡점,전라북도,군산시,전북 군산시 칠성안1길 17(산북동 104호)
미장점,전라북도,군산시,전북 군산시 미장남로 36(미장동)
미룡군산대점,전라북도,군산시,전북 군산시 미제1길 6(미룡동)
만경점,전라북도,김제시,전북 김제시 만경읍 만경로 804
